time,name,reflectivity,velocity,power,spectrum_width
23:50:08,NGP180213235003.RAWCG1T,30.5,1.007874012,31.5,7.822500229
22:50:15,NGP180213225007.RAWD9BK,30.5,7.820000172,30.5,7.820000172
23:40:09,NGP180213234003.RAWCFZG,31.5,1.007874012,33,7.822500229
23:20:11,NGP180213232003.RAWD9BS,31,7.820000172,31.5,7.820000172
23:30:10,NGP180213233003.RAWD9BU,30.5,7.820000172,34.5,7.820000172
23:30:10,NGP180213233003.RAWCFX6,30.5,1.007874012,34.5,7.822500229
23:50:08,NGP180213235003.RAWD9BY,30.5,7.820000172,31.5,7.820000172
23:02:13,NGP180213230201.RAWCFR4,30.5,1.007874012,30.5,1.724645615
23:52:37,NGP180213235209.RAWCG2M,31,1.007874012,32,1.724645615
23:02:13,NGP180213230201.RAWD9BN,30.5,1.720000029,30.5,1.720000029
23:22:11,NGP180213232208.RAWCFVR,31,1.007874012,31.5,1.724645615
23:00:43,NGP180213230014.RAWD9BM,32.5,7.820000172,33,7.820000172
23:42:08,NGP180213234201.RAWCG0B,31,1.007874012,31.5,1.97102356
23:42:08,NGP180213234201.RAWD9BX,31,1.970000029,31.5,1.970000029
22:52:14,NGP180213225201.RAWD9BL,31,1.230000019,32,1.230000019
23:10:11,NGP180213231006.RAWD9BP,30.5,7.820000172,30.5,7.820000172
23:12:12,NGP180213231201.RAWD9BR,30.5,1.720000029,31,1.720000029
23:20:11,NGP180213232003.RAWCFUW,31,1.007874012,31.5,7.822500229
23:40:09,NGP180213234003.RAWD9BW,31.5,7.820000172,33,7.820000172
22:40:15,NGP180213224013.RAWD9BH,31,7.820000172,30.5,7.820000172
22:52:14,NGP180213225201.RAWCFMS,31,1.007874012,32,1.231889725
23:12:12,NGP180213231201.RAWCFTE,30.5,1.007874012,31,1.724645615
22:50:15,NGP180213225007.RAWCFLX,30.5,1.007874012,30.5,7.822500229
22:30:16,NGP180213223003.RAWCFGA,30.5,1.007874012,30.5,7.822500229
23:10:11,NGP180213231006.RAWCFSK,30.5,1.007874012,30.5,7.822500229
22:42:15,NGP180213224201.RAWCFKF,30.5,1.007874012,32,1.47826767
22:20:18,NGP180213222007.RAWD9BD,32.5,7.820000172,31,7.820000172
23:52:37,NGP180213235209.RAWD9BZ,31,1.970000029,32,1.720000029
22:30:16,NGP180213223003.RAWD9BF,30.5,7.820000172,30.5,7.820000172
23:32:09,NGP180213233201.RAWD9BV,30.5,1.970000029,30.5,1.970000029
23:00:43,NGP180213230014.RAWCFP7,32.5,1.007874012,33,7.822500229
22:10:19,NGP180213221006.RAWD9BB,31,7.820000172,32,7.820000172
22:20:18,NGP180213222007.RAWCFE0,32.5,1.007874012,31,7.822500229
23:32:09,NGP180213233201.RAWCFY1,30.5,1.007874012,30.5,1.97102356
22:00:20,NGP180213220007.RAWCF9B,30.5,1.007874012,32,7.822500229
22:10:19,NGP180213221006.RAWCFBP,31,1.007874012,32,7.822500229
22:40:15,NGP180213224013.RAWCFJL,31,1.007874012,30.5,7.822500229
21:50:21,NGP180213215004.RAWCF71,30.5,1.007874012,31.5,7.822500229
23:22:11,NGP180213232208.RAWD9BT,31,1.720000029,31.5,1.720000029
22:32:16,NGP180213223208.RAWCFH5,30.5,1.007874012,30.5,0.739133835
22:32:16,NGP180213223208.RAWD9BG,30.5,0.74000001,30.5,0.74000001
22:02:19,NGP180213220201.RAWCFA8,31.5,1.007874012,30.5,0.739133835
22:12:18,NGP180213221201.RAWCFCJ,32,1.007874012,30.5,0.739133835
22:42:15,NGP180213224201.RAWD9BJ,30.5,0.49000001,32,1.480000019
21:40:22,NGP180213214007.RAWCF4R,31,1.007874012,30.5,7.822500229
21:50:21,NGP180213215004.RAWD9B7,30.5,7.820000172,31.5,7.820000172
21:30:23,NGP180213213008.RAWCF2E,32.5,1.007874012,30.5,1.293484211
21:40:22,NGP180213214007.RAWD9B5,31,7.820000172,30.5,7.820000172
22:12:18,NGP180213221201.RAWD9BC,32,0.74000001,30.5,0.74000001
22:22:17,NGP180213222201.RAWCFEV,30.5,1.007874012,32,1.47826767
22:00:20,NGP180213220007.RAWD9B9,30.5,7.820000172,32,7.820000172
22:02:19,NGP180213220201.RAWD9BA,31.5,0.74000001,30.5,0.74000001
21:21:53,NGP180213212148.RAWCF04,30.5,1.007874012,30.5,1.170295358
21:42:21,NGP180213214201.RAWD9B6,30.5,0.74000001,31.5,0.74000001
21:00:26,NGP180213210003.RAWD9AX,31,0.860000014,32,0.800000012
21:52:20,NGP180213215208.RAWCF7W,31,1.007874012,30.5,1.231889725
21:10:25,NGP180213211003.RAWCEXU,30.5,1.007874012,30.5,1.047106266
20:50:27,NGP180213205008.RAWD9AV,31,1.049999952,30.5,0.800000012
22:22:17,NGP180213222201.RAWD9BE,30.5,1.480000019,32,1.480000019
21:10:25,NGP180213211003.RAWD9AZ,30.5,0.800000012,30.5,1.049999952
21:32:22,NGP180213213208.RAWCF39,30.5,1.007874012,30.5,0.739133835
21:12:24,NGP180213211201.RAWD9B0,31,1.230000019,31,1.720000029
21:52:20,NGP180213215208.RAWD9B8,31,1.230000019,30.5,1.230000019
21:42:21,NGP180213214201.RAWCF5K,30.5,1.007874012,31.5,0.739133835
21:00:26,NGP180213210003.RAWCEVF,31,1.007874012,32,0.800728381
